Marital status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification;Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP
1;8;2;12;1;1;1;3;3;2;11;1;0;0;1;1;0;19;0;0;7;9;6;12.933333333333332;0;0;7;7;6;13.716666666666669;0;16/02/24;0.3;-0.92
1;15;1;4;1;14;1;4;5;5;3;0;0;0;1;1;0;21;0;0;6;15;5;11.857142857142858;0;0;6;17;5;10.571428571428571;0;16/02/24;0.3;-0.92
1;16;1;5;1;1;1;27;3;16;22;1;0;0;1;1;0;20;0;2;6;7;6;12.833333333333334;0;0;6;9;4;13.4;0;08/09/24;1.4;3.51
1;1;1;9;1;1;1;1;1;5;7;0;0;0;0;1;0;18;0;0;5;9;3;11.333333333333334;0;0;5;8;2;13.5;0;08/09/24;1.4;3.51
1;9;1;3;0;1;1;13;1;10;6;1;0;0;1;0;0;19;0;0;6;6;6;12.666666666666666;0;0;6;8;6;14.375;0;12/04/24;0.5;1.79
1;1;1;17;0;1;1;2;27;4;10;0;0;0;1;1;0;34;0;0;5;6;5;12.4;0;0;5;9;5;13.428571428571429;0;13/09/24;-0.3;0.79
1;12;1;1;1;1;1;23;27;10;7;0;0;1;0;1;0;37;0;0;7;7;0;0.0;0;0;7;7;1;10.0;0;08/09/24;1.4;3.51
1;12;1;7;1;8;1;19;27;1;1;1;0;0;1;1;0;43;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;07/06/24;2.6;0.32
1;14;1;9;1;1;1;22;27;7;7;0;0;0;1;0;0;55;0;0;5;10;1;10.0;0;0;5;8;2;12.0;2;16/02/24;0.3;-0.92
4;12;1;17;0;1;1;13;14;10;4;1;0;0;1;0;0;39;0;0;5;8;5;11.0;0;0;5;5;5;11.6;0;07/06/24;2.6;0.32
1;15;1;8;1;14;3;4;4;4;7;0;0;1;0;0;0;20;1;2;6;13;3;11.666666666666666;0;1;6;11;3;12.0;0;12/04/24;0.5;1.79
1;1;5;15;1;1;1;3;3;3;3;0;0;1;1;0;0;18;0;0;6;6;4;12.75;0;0;5;5;0;0.0;0;12/07/24;3.7;-1.7
1;1;2;9;1;1;1;3;14;3;8;1;0;0;1;0;0;22;0;0;5;5;5;14.8;0;0;5;5;5;15.8;0;08/09/24;1.4;3.51
1;1;6;12;1;1;1;1;3;3;3;1;1;0;1;0;0;22;0;0;7;9;5;13.928;0;0;8;9;7;14.342857142857142;0;11/01/24;0.6;2.02
1;8;1;15;1;1;1;1;28;6;6;0;0;0;0;0;0;20;0;0;6;7;4;13.0;0;0;6;7;5;13.8;0;12/04/24;0.5;1.79
1;12;1;17;0;1;1;22;27;10;10;0;0;0;1;0;0;29;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;16/02/24;0.3;-0.92
1;8;1;17;0;1;1;23;28;5;6;0;0;0;1;0;0;24;0;0;5;9;2;11.5;0;0;5;11;3;14.333333333333334;1;07/06/24;2.6;0.32
1;8;2;10;1;1;1;13;14;10;10;1;0;0;1;0;0;18;0;0;6;6;6;11.666666666666666;0;0;6;8;5;13.2;0;11/01/24;0.6;2.02
1;8;6;12;1;1;1;22;14;8;8;1;0;0;1;0;1;22;0;0;7;8;6;13.516666666666666;0;0;8;9;7;13.771428571428572;0;11/01/24;0.6;2.02
1;15;1;3;0;14;1;1;14;10;10;0;0;0;1;0;1;21;0;3;6;6;6;11.5;0;2;6;7;6;13.285714285714286;0;12/04/24;0.5;1.79
1;1;1;10;1;1;1;22;28;10;10;0;0;0;1;0;1;19;0;0;6;7;5;12.333333333333334;0;0;6;7;6;12.833333333333334;0;12/07/24;3.7;-1.7
1;12;1;11;1;1;1;13;28;10;8;0;0;0;1;0;1;24;0;0;6;6;6;13.666666666666666;0;0;6;6;6;14.166666666666666;0;12/04/24;0.5;1.79
1;1;1;12;1;1;1;22;28;7;7;1;0;0;1;0;1;19;0;0;8;10;6;11.833333333333334;0;0;8;10;6;11.833333333333334;0;09/04/24;-0.8;-3.12
1;1;1;15;1;1;1;1;14;8;8;1;0;0;1;0;1;20;0;0;6;11;4;14.0;0;0;6;12;3;11.0;0;09/04/24;-0.8;-3.12
1;1;3;8;1;1;1;22;27;12;12;0;0;0;1;0;0;19;0;0;5;7;5;14.714285714285714;0;0;5;5;5;15.8;0;07/06/24;2.6;0.32
1;12;1;17;0;1;1;23;28;10;10;0;0;0;1;0;0;27;0;0;5;12;5;10.6;0;0;5;10;5;11.0;0;09/04/24;-0.8;-3.12
1;1;1;12;1;1;1;1;14;6;6;1;0;0;1;0;0;18;0;0;7;9;7;13.044444444444444;0;0;8;10;8;13.595;0;15/05/24;2.8;-4.06
2;4;1;11;1;3;1;1;3;5;4;0;0;0;1;0;0;39;0;0;6;10;0;0.0;0;0;6;6;0;0.0;0;12/04/24;0.5;1.79
1;12;1;8;1;15;1;3;3;3;3;1;0;0;1;0;0;27;0;0;6;9;5;13.0;0;5;11;13;10;12.9;0;12/04/24;0.5;1.79
1;8;1;12;1;1;1;23;28;8;11;1;0;0;1;0;0;18;0;0;8;8;8;14.935;0;0;8;8;8;14.935;0;09/04/24;-0.8;-3.12
1;1;3;2;1;1;1;23;27;5;10;1;0;0;1;0;0;18;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;07/06/24;2.6;0.32
1;1;2;12;1;1;1;13;14;10;10;0;0;0;1;0;0;18;0;0;7;8;6;13.133333333333333;0;0;8;12;7;12.221428571428572;0;16/02/24;0.3;-0.92
1;15;1;10;1;14;1;13;1;10;10;0;0;0;1;0;1;21;0;3;6;7;6;12.0;0;2;6;7;6;12.0;0;13/09/24;-0.3;0.79
1;8;3;2;1;1;1;1;27;5;8;1;0;0;1;1;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10/08/24;1.4;1.74
1;8;1;5;1;1;1;1;1;4;5;1;0;0;1;1;0;19;0;0;6;6;5;11.4;0;0;6;8;1;10.0;0;10/08/24;1.4;1.74
1;14;1;5;1;1;1;1;1;4;4;0;0;0;1;1;0;24;0;0;6;6;0;0.0;0;0;6;6;0;0.0;0;12/07/24;3.7;-1.7
4;13;1;12;1;12;1;1;1;6;6;1;0;0;1;1;0;29;0;2;7;10;5;11.9;0;1;8;10;5;11.0;0;13/09/24;-0.3;0.79
1;1;3;2;1;1;1;13;14;6;4;1;0;0;1;1;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10/08/24;1.4;1.74
1;15;1;4;1;14;1;13;27;10;10;1;0;0;1;1;0;23;0;0;6;8;6;12.571428571428571;0;0;6;7;6;12.428571428571429;0;08/09/24;1.4;3.51
1;1;3;9;1;1;1;1;28;8;8;0;0;1;1;1;0;19;0;0;5;8;5;11.2;0;0;5;10;4;10.75;3;16/02/24;0.3;-0.92
1;12;1;11;1;1;1;13;27;8;11;0;0;0;1;1;0;26;0;0;6;7;6;12.0;0;0;6;8;5;10.8;0;12/07/24;3.7;-1.7
1;8;1;9;1;1;1;23;27;6;6;0;0;0;1;1;0;18;0;0;5;9;0;0.0;0;0;5;5;0;0.0;0;07/06/24;2.6;0.32
1;8;1;12;1;1;1;22;14;9;5;0;0;0;1;1;0;24;0;0;7;8;7;11.975;0;0;8;8;8;13.75;0;13/09/24;-0.3;0.79
1;1;1;2;1;1;1;13;14;6;11;1;0;0;1;1;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;15/05/24;2.8;-4.06
1;8;4;11;1;1;1;23;27;6;8;1;0;0;1;1;0;18;0;0;6;12;3;11.666666666666666;0;0;6;12;1;12.0;0;12/04/24;0.5;1.79
1;1;2;15;1;1;1;23;28;10;10;1;0;0;1;1;0;18;0;0;6;8;6;12.333333333333334;0;0;6;11;3;12.333333333333334;0;10/08/24;1.4;1.74
1;8;3;9;1;1;1;13;14;5;8;1;0;1;1;1;0;18;0;0;5;8;3;10.333333333333334;0;0;5;11;3;10.857142857142858;0;10/08/24;1.4;1.74
1;9;4;11;1;1;1;13;27;8;8;1;0;0;1;1;1;21;0;0;6;8;4;10.5;0;0;6;11;1;11.0;0;09/04/24;-0.8;-3.12
1;8;4;15;1;1;1;1;14;10;9;1;0;1;1;1;1;19;0;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;08/09/24;1.4;3.51
1;8;4;12;1;1;1;23;27;10;10;0;0;0;1;1;1;22;0;0;7;7;7;14.842857142857142;0;0;8;9;8;15.055555555555555;0;16/02/24;0.3;-0.92
2;12;1;3;0;1;1;22;27;10;7;0;0;0;1;1;0;33;0;0;6;8;6;12.0;0;0;6;6;6;11.666666666666666;0;10/08/24;1.4;1.74
1;1;6;16;1;1;1;13;14;10;10;1;0;0;1;1;0;20;0;0;6;8;5;12.2;0;0;6;7;5;12.2;0;10/08/24;1.4;1.74
1;12;1;17;0;2;1;3;3;3;3;1;0;0;1;1;0;35;0;0;1;1;0;0.0;1;0;5;0;0;0.0;0;10/08/24;1.4;1.74
1;12;1;4;1;4;1;3;3;5;3;0;0;1;1;1;0;24;0;6;12;17;6;12.166666666666666;0;7;12;14;10;13.3;0;12/04/24;0.5;1.79
1;8;1;11;1;1;1;13;14;5;5;0;0;0;1;1;0;18;0;0;5;6;5;12.0;0;0;5;8;3;11.333333333333334;0;12/07/24;3.7;-1.7
2;12;1;3;0;1;1;22;27;10;7;1;0;0;1;0;0;33;0;0;6;7;6;11.0;0;0;6;11;5;11.0;0;09/04/24;-0.8;-3.12
1;13;1;12;1;1;1;22;28;10;8;1;0;0;1;0;1;22;0;0;8;8;7;13.08;0;0;8;8;7;13.08;0;10/08/24;1.4;1.74
1;12;1;14;1;1;1;1;14;5;6;0;0;0;1;0;1;25;0;0;5;7;4;10.5;0;0;5;7;5;11.6;0;09/04/24;-0.8;-3.12
1;8;1;5;1;1;1;13;28;5;1;1;0;0;1;1;0;20;0;0;6;9;6;10.666666666666666;1;0;6;6;5;11.2;0;07/06/24;2.6;0.32
1;1;6;9;1;1;1;23;27;10;10;1;0;0;1;1;0;23;0;0;5;6;4;14.0;0;0;5;5;5;13.8;0;11/01/24;0.6;2.02
1;14;2;7;1;1;1;23;14;10;7;1;0;1;1;1;0;18;0;0;5;9;2;10.0;0;0;5;9;0;0.0;0;15/05/24;2.8;-4.06
1;12;1;12;1;1;1;1;1;5;11;0;0;0;1;1;0;24;0;0;7;18;0;0.0;0;0;7;7;0;0.0;0;13/09/24;-0.3;0.79
1;8;2;15;1;1;14;13;1;10;10;1;0;0;0;0;0;21;1;0;6;6;6;14.0;0;0;6;6;6;13.5;0;08/09/24;1.4;3.51
1;6;1;8;1;1;14;1;1;5;5;0;0;0;1;0;0;26;1;0;6;7;2;12.0;1;0;6;6;0;0.0;0;08/09/24;1.4;3.51
2;12;1;16;1;8;1;22;24;1;1;0;0;0;1;0;0;39;0;0;6;12;3;12.666666666666666;0;0;6;14;0;0.0;1;07/06/24;2.6;0.32
2;12;1;3;0;1;1;22;14;10;10;0;0;0;1;0;0;44;0;2;8;11;8;11.875;0;0;6;7;6;12.333333333333334;0;12/07/24;3.7;-1.7
1;6;1;7;1;1;12;23;3;10;3;1;0;0;1;1;0;19;1;0;5;9;5;14.0;0;0;5;11;3;13.25;0;13/09/24;-0.3;0.79
1;1;5;15;1;1;1;22;1;6;6;1;0;0;1;0;0;18;0;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;08/09/24;1.4;3.51
1;1;5;12;1;1;1;22;27;8;8;1;0;0;1;0;1;18;0;0;7;7;7;13.75;0;0;8;9;8;14.47777777777778;0;12/04/24;0.5;1.79
1;1;1;6;1;1;1;1;2;10;2;1;0;0;1;0;0;19;0;0;5;7;5;14.2;2;0;5;7;5;13.8;0;12/07/24;3.7;-1.7
1;1;4;12;1;1;1;3;3;3;3;1;0;1;0;0;0;19;0;0;7;10;4;11.96;0;0;7;7;0;0.0;0;13/09/24;-0.3;0.79
1;17;1;6;1;16;1;23;28;10;10;0;0;0;1;0;0;21;0;7;10;12;8;12.875;0;4;9;14;5;13.4;0;08/09/24;1.4;3.51
1;1;4;2;1;1;1;1;1;10;11;1;0;0;1;0;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;16/02/24;0.3;-0.92
2;12;1;3;0;1;1;22;27;7;6;1;0;0;1;0;0;36;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;09/04/24;-0.8;-3.12
4;12;1;4;1;9;1;22;27;10;7;0;0;0;1;0;0;43;0;13;18;19;18;14.63157894736842;0;10;13;14;13;14.23076923076923;1;15/05/24;2.8;-4.06
1;9;1;16;1;1;1;13;14;10;8;1;0;0;1;0;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;11/01/24;0.6;2.02
1;16;1;5;1;1;1;3;1;3;9;0;0;1;1;0;0;20;0;4;10;12;10;13.0;0;5;11;11;11;12.272727272727272;0;11/01/24;0.6;2.02
1;1;2;10;1;1;1;22;28;5;8;1;0;0;1;0;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;16/02/24;0.3;-0.92
1;1;1;6;1;1;1;1;1;5;5;1;0;0;1;0;0;20;0;0;6;15;4;14.2;0;0;6;17;4;13.25;0;15/05/24;2.8;-4.06
1;1;5;12;1;1;1;3;4;5;4;1;0;0;1;0;0;20;0;2;7;9;6;13.266666666666666;0;0;7;10;5;12.3;0;12/04/24;0.5;1.79
1;8;2;16;1;1;1;13;1;10;4;1;0;0;1;0;0;20;0;0;7;12;6;11.666666666666666;0;0;7;10;3;13.0;0;16/02/24;0.3;-0.92
1;1;1;10;1;1;1;22;27;7;8;1;0;0;1;0;0;18;0;0;6;8;6;13.857142857142858;0;0;6;6;6;15.0;0;13/09/24;-0.3;0.79
1;8;2;9;1;1;1;1;28;5;8;1;0;0;1;0;1;18;0;0;5;9;3;13.0;0;0;5;11;3;11.0;0;08/09/24;1.4;3.51
1;1;1;6;1;1;1;13;14;10;10;1;0;0;1;0;0;19;0;0;5;6;5;13.4;0;0;5;5;5;12.8;0;10/08/24;1.4;1.74
1;1;3;15;1;1;1;1;28;5;8;1;0;0;1;0;0;18;0;0;6;6;6;12.666666666666666;0;0;6;7;6;12.571428571428571;0;10/08/24;1.4;1.74
1;8;2;12;1;1;1;22;27;10;10;1;0;0;1;0;0;18;0;0;7;7;6;12.516666666666666;1;0;7;7;6;12.516666666666666;1;07/06/24;2.6;0.32
1;14;1;12;1;1;1;23;28;10;6;0;0;0;1;0;0;20;0;0;7;11;6;11.616666666666667;0;0;7;7;7;13.0;0;13/09/24;-0.3;0.79
1;8;1;10;1;1;1;13;27;10;8;1;0;0;1;0;1;20;0;0;6;13;2;10.0;0;0;6;12;4;10.75;0;07/06/24;2.6;0.32
1;8;1;9;1;1;1;13;14;4;4;0;0;0;1;0;0;20;0;0;5;11;3;10.333333333333334;0;0;5;10;3;10.666666666666666;0;12/04/24;0.5;1.79
1;1;2;6;1;1;1;22;28;10;8;0;0;0;1;0;0;18;0;0;5;12;5;13.142857142857142;2;0;5;6;5;11.4;0;09/04/24;-0.8;-3.12
1;1;1;9;1;1;1;2;14;5;6;0;0;0;1;0;0;18;0;0;5;5;5;12.6;0;0;5;5;5;14.0;0;11/01/24;0.6;2.02
1;8;1;11;1;1;1;1;1;5;6;1;0;0;1;0;0;21;0;0;6;12;3;11.0;0;0;6;12;2;11.0;0;09/04/24;-0.8;-3.12
1;1;2;9;1;1;1;13;14;10;8;1;0;0;1;0;0;19;0;0;5;8;5;10.8;0;0;5;9;4;11.25;2;16/02/24;0.3;-0.92
1;1;1;2;1;1;1;3;14;3;10;0;0;0;1;0;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10/08/24;1.4;1.74
1;1;1;14;1;1;1;23;28;10;10;0;0;0;1;0;1;19;0;0;5;5;5;12.8;0;0;5;5;5;14.2;0;09/04/24;-0.8;-3.12
1;1;1;6;1;1;1;13;28;5;8;1;0;0;1;0;0;19;0;0;6;15;6;14.166666666666666;0;0;6;13;6;12.2;0;15/05/24;2.8;-4.06
1;8;6;13;1;1;1;1;1;5;6;1;0;0;1;0;0;19;0;0;7;12;5;12.1;0;0;7;0;0;0.0;0;13/09/24;-0.3;0.79
1;15;1;6;1;14;1;22;27;10;10;1;0;0;1;0;0;20;0;1;6;7;6;14.166666666666666;0;1;6;17;5;13.77777777777778;0;12/04/24;0.5;1.79
1;1;1;16;1;1;1;13;28;10;4;1;0;0;1;0;1;18;0;0;6;8;5;12.8;0;0;6;7;5;13.4;0;09/04/24;-0.8;-3.12
1;8;3;10;1;1;1;1;29;6;4;1;0;0;1;0;0;18;0;0;6;7;6;13.0;0;0;6;6;6;13.666666666666666;0;12/04/24;0.5;1.79
1;8;6;12;1;1;1;1;27;9;10;1;0;0;1;0;0;19;0;0;7;7;7;13.467142857142855;0;0;8;9;8;15.011111111111113;0;12/04/24;0.5;1.79
1;1;3;12;1;1;1;13;14;6;9;1;0;0;1;0;1;18;0;0;7;9;7;13.2375;0;0;8;9;7;13.742857142857144;0;13/09/24;-0.3;0.79
1;8;2;5;1;1;1;22;27;10;10;1;0;0;1;0;0;18;0;0;6;6;6;12.333333333333334;0;0;6;6;6;13.0;0;07/06/24;2.6;0.32
1;1;4;9;1;1;1;1;14;5;9;1;0;0;1;0;0;19;0;0;5;7;5;12.4;0;0;5;5;5;14.6;0;08/09/24;1.4;3.51
1;8;6;12;1;1;1;1;14;4;4;1;0;0;1;0;0;19;0;0;7;8;5;14.0;0;0;7;7;0;0.0;0;13/09/24;-0.3;0.79
1;14;1;10;1;1;1;23;27;10;8;0;0;0;1;0;0;20;0;5;9;15;9;11.666666666666666;0;2;7;8;7;11.714285714285714;0;07/06/24;2.6;0.32
1;1;1;14;1;1;1;1;28;4;10;0;0;1;0;0;1;19;0;0;6;7;5;12.0;0;0;6;9;4;12.5;0;12/04/24;0.5;1.79
1;8;1;14;1;1;1;13;14;6;6;1;0;0;1;0;0;20;0;0;5;7;4;12.2;0;0;5;5;4;11.5;0;07/06/24;2.6;0.32
1;1;1;15;1;1;1;1;1;20;39;0;0;1;1;0;1;18;0;0;6;6;6;14.833333333333334;0;0;6;6;6;14.833333333333334;0;08/09/24;1.4;3.51
1;1;2;12;1;1;1;13;1;5;8;0;0;0;1;0;1;20;0;0;7;9;5;13.188;0;0;8;9;7;12.892857142857142;0;11/01/24;0.6;2.02
1;9;1;12;1;1;1;13;1;5;9;0;0;0;1;0;0;18;0;0;7;8;7;17.125;0;0;8;8;8;17.5875;0;13/09/24;-0.3;0.79
1;1;5;12;1;1;1;22;27;10;10;1;0;0;1;0;0;19;0;0;7;7;6;12.666666666666666;0;0;7;7;6;12.666666666666666;0;07/06/24;2.6;0.32
1;1;6;15;1;1;1;13;1;5;5;1;0;0;1;0;1;19;0;0;6;8;6;12.666666666666666;0;0;6;10;5;12.0;0;12/04/24;0.5;1.79
1;16;1;9;1;1;1;3;1;4;4;1;0;1;0;0;0;22;0;0;5;8;0;0.0;0;0;5;7;0;0.0;0;08/09/24;1.4;3.51
1;1;3;10;1;1;1;1;10;10;11;1;0;0;1;0;1;19;0;0;6;7;6;11.333333333333334;0;0;6;6;6;11.5;0;12/04/24;0.5;1.79
1;1;3;12;1;1;1;13;14;10;8;1;0;0;1;0;1;19;0;0;7;10;7;13.605;0;0;8;11;8;12.33125;0;15/05/24;2.8;-4.06
1;8;5;16;1;1;1;22;28;6;7;1;0;0;1;0;1;19;0;0;6;10;5;12.0;0;0;6;9;5;10.8;0;09/04/24;-0.8;-3.12
1;1;4;11;1;1;1;10;14;10;10;1;0;0;1;0;0;19;0;0;5;10;0;0.0;0;0;5;10;0;0.0;0;07/06/24;2.6;0.32
1;8;1;11;1;1;1;1;27;10;11;1;0;0;1;0;0;20;0;0;6;8;5;11.2;0;0;6;12;3;11.666666666666666;0;07/06/24;2.6;0.32
1;1;1;9;1;1;1;3;14;3;11;0;0;0;1;0;0;18;0;0;5;10;5;13.375;0;0;5;9;5;14.166666666666666;0;13/09/24;-0.3;0.79
1;1;1;12;1;1;1;1;14;10;10;0;0;0;1;0;1;20;0;0;7;8;6;13.863333333333337;0;0;8;9;7;14.178571428571429;0;11/01/24;0.6;2.02
1;1;1;2;1;1;1;3;27;3;9;1;0;0;1;0;0;18;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;09/04/24;-0.8;-3.12
1;1;1;6;1;1;1;1;28;5;8;0;0;0;1;0;0;19;0;0;5;6;5;12.4;0;0;5;6;5;13.4;0;07/06/24;2.6;0.32
1;8;1;16;1;1;1;23;28;8;7;1;0;0;1;0;0;18;0;0;6;11;3;12.333333333333334;0;0;6;10;5;10.833333333333334;0;09/04/24;-0.8;-3.12
1;1;1;16;1;1;1;22;27;10;10;1;0;0;1;0;0;18;0;0;6;7;6;13.333333333333334;0;0;6;8;5;11.8;0;07/06/24;2.6;0.32
1;14;1;16;1;1;1;3;27;3;6;1;0;0;1;0;0;21;0;0;6;10;3;12.666666666666666;0;0;6;12;3;10.0;0;09/04/24;-0.8;-3.12
1;1;1;16;1;1;1;23;27;7;7;0;0;0;1;0;0;19;0;0;6;8;6;12.0;0;0;6;10;4;11.5;0;07/06/24;2.6;0.32
1;1;1;9;1;1;1;23;28;10;10;0;0;0;1;0;1;18;0;0;5;5;5;10.6;0;0;5;5;5;11.8;0;12/04/24;0.5;1.79
1;8;2;10;1;1;1;1;27;8;10;1;0;0;1;0;1;18;0;0;6;8;6;12.25;0;0;6;7;6;11.857142857142858;0;12/07/24;3.7;-1.7
1;1;3;10;1;1;1;13;1;10;11;1;0;0;1;0;0;20;0;0;6;10;4;11.0;0;0;6;9;6;11.833333333333334;0;09/04/24;-0.8;-3.12
1;12;1;3;0;1;1;1;14;7;9;0;0;0;1;0;1;24;0;0;6;11;5;11.0;0;0;6;9;5;12.6;0;11/01/24;0.6;2.02
